network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,protocol_type_ICMP,protocol_type_TCP,protocol_type_UDP,encryption_used_AES,encryption_used_DES,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
0.4078624078624079,0.16666666666666669,0.664269403702295,0.3572428920232446,0,0,0,1,0,1,0,1,0,0,0,0
0.11466011466011468,0.3333333333333333,0.5803995382777657,0.3854652391685894,1,0,0,0,1,0,1,1,0,0,0,0
0.3660933660933661,0.25,0.7968626296943689,0.4805132977897942,0,0,0,0,1,1,0,0,0,0,0,1
0.2497952497952498,0.25,0.508872910503803,0.3444682029186903,2,0,0,1,0,0,1,1,0,0,0,0
0.30712530712530717,0.49999999999999994,0.6298725093932176,0.3928592769926949,0,0,0,0,1,0,1,1,0,0,0,0
0.34643734643734647,0.0,0.7579757208931758,0.5244831643193657,0,0,0,1,0,0,1,0,0,1,0,0
0.4995904995904996,0.25,0.5898414743321391,0.5442480653928504,0,0,0,1,0,1,0,1,0,0,0,0
0.21621621621621623,0.16666666666666669,0.8158151855323699,0.2298113673713112,0,1,0,0,1,1,0,1,0,0,0,0
0.40950040950040956,0.3333333333333333,0.7109027292983084,0.7008459657944341,3,0,0,1,0,1,0,1,0,0,0,0
0.16871416871416872,0.3333333333333333,0.8222368463007693,0.398497499473521,1,1,0,0,1,0,1,0,0,0,0,1
0.33579033579033585,0.3333333333333333,0.6223578530940932,0.1342499353217723,2,0,0,1,0,1,0,1,0,0,0,0
0.0,0.3333333333333333,0.8407163631614244,0.4946918745909024,2,0,0,1,0,0,1,1,0,0,0,0
0.3865683865683866,0.08333333333333333,0.5132301691500916,0.8057147685680837,0,0,0,1,0,1,0,1,0,0,0,0
0.40131040131040135,0.16666666666666669,0.6777357291275112,0.5041812546089364,2,0,0,1,0,1,0,0,0,1,0,0
0.13267813267813267,0.25,0.6359741755946068,0.4049269447657442,0,0,0,1,0,1,0,1,0,0,0,0
0.1711711711711712,0.16666666666666669,0.7198026686621928,0.8268730495833936,2,0,0,1,0,0,1,1,0,0,0,0
0.565929565929566,0.4166666666666667,0.5888912826230241,0.4796020142969581,2,0,0,0,1,1,0,1,0,0,0,0
0.07207207207207207,0.0,0.822859298777852,0.368859608132766,1,0,0,1,0,1,0,0,0,1,0,0
0.05651105651105652,0.08333333333333333,0.9077849172546828,0.2684967762852253,3,1,0,0,1,0,1,0,0,1,0,0
0.3857493857493858,0.25,0.7826829342493277,0.3187521272844668,1,0,0,1,0,1,0,0,1,0,0,0
0.053235053235053245,0.16666666666666669,0.584815035121668,0.1033711777621699,2,0,0,0,1,1,0,1,0,0,0,0
0.21703521703521705,0.5833333333333333,0.6177717292846658,0.1740885246238277,2,0,0,1,0,0,1,1,0,0,0,0
0.4250614250614251,0.4166666666666667,0.595167413976679,0.3700416258336673,3,0,0,0,1,0,1,1,0,0,0,0
0.5651105651105651,0.16666666666666669,0.5350707744290542,0.7574161476710148,3,0,0,0,1,0,1,0,0,1,0,0
0.2964782964782965,0.16666666666666669,0.7525485793620453,0.0772252820093264,4,0,0,1,0,1,0,1,0,0,0,0
0.2268632268632269,0.4166666666666667,0.8645536272469995,0.4690128414058109,1,0,0,1,0,0,1,0,0,1,0,0
0.2833742833742834,0.25,0.8571234252396446,0.0453482537626089,1,0,0,1,0,1,0,0,0,1,0,0
0.2817362817362818,0.25,0.8264752519216019,0.2275166472393313,1,0,0,1,0,1,0,0,0,0,1,0
0.10892710892710893,0.16666666666666669,0.6738830742415245,0.4052841151814599,2,1,0,1,0,1,0,0,1,0,0,0
0.28255528255528256,0.3333333333333333,0.6439405305599735,0.1510308854997418,1,0,0,1,0,0,1,0,0,1,0,0
0.27190827190827194,0.25,0.811461053663839,0.5073637628495797,1,0,0,1,0,1,0,1,0,0,0,0
0.47829647829647837,0.3333333333333333,0.13402389484535165,0.3472826061311965,3,0,0,1,0,0,1,1,0,0,0,0
0.2702702702702703,0.16666666666666669,0.5280012762604857,0.3193230876826401,4,0,0,1,0,0,1,1,0,0,0,0
0.5036855036855037,0.25,0.7457137850558657,0.3240767280580769,2,0,0,1,0,1,0,0,0,1,0,0
0.2612612612612613,0.25,0.4510659111480575,0.5786446030330827,0,0,0,0,1,0,1,0,0,1,0,0
0.6511056511056511,0.4166666666666667,0.5669323920809226,0.381430018298796,1,0,0,0,1,1,0,0,1,0,0,0
0.0,0.3333333333333333,0.5951708236895822,0.3824490993331821,0,0,0,1,0,0,1,0,1,0,0,0
0.35053235053235055,0.3333333333333333,0.6788736787341046,0.0506939946557504,4,1,0,1,0,1,0,1,0,0,0,0
0.20884520884520885,0.5833333333333333,0.5397095834550258,0.0469943661868391,3,0,0,1,0,1,0,0,0,0,1,0
0.4103194103194104,0.4166666666666667,0.5636981214711386,0.3691069407419278,0,0,0,1,0,0,1,0,1,0,0,0
0.506961506961507,0.0,0.7534777632451918,0.2183199712359856,1,0,0,0,1,1,0,0,1,0,0,0
0.3316953316953317,0.16666666666666669,0.8120619051199244,0.1786529096841888,1,0,0,1,0,0,1,0,0,1,0,0
0.7371007371007372,0.3333333333333333,0.7070107415869961,0.345161034029322,1,0,0,1,0,0,1,0,0,1,0,0
0.25962325962325966,0.25,0.4442329584119622,0.2788480700046339,1,0,0,1,0,1,0,0,0,0,0,1
0.2153972153972154,0.3333333333333333,0.7698018576885122,0.6229629964780509,1,1,0,1,0,0,1,1,0,0,0,0
0.3775593775593776,0.49999999999999994,0.7546077936241798,0.1760559476104217,0,0,0,1,0,0,1,0,0,1,0,0
0.6527436527436528,0.25,0.8365024024591422,0.2374023746313637,3,0,0,1,0,1,0,0,0,0,1,0
0.26699426699426704,0.16666666666666669,0.7801468898096701,0.342688246900256,2,0,0,1,0,1,0,1,0,0,0,0
0.49467649467649477,0.25,0.8351217801849181,0.6311834858140115,0,0,0,1,0,1,0,0,0,1,0,0
0.4103194103194104,0.5833333333333333,0.5251356655843178,0.1981503877084024,2,1,0,1,0,1,0,1,0,0,0,0
0.3570843570843571,0.08333333333333333,0.6533062327415092,0.5708111546011075,3,0,0,1,0,0,1,1,0,0,0,0
0.49467649467649477,0.4166666666666667,0.7398663938507442,0.2220686680002618,3,0,0,1,0,0,1,1,0,0,0,0
0.1941031941031941,0.16666666666666669,0.5174459830048704,0.3449176296949331,3,0,0,0,1,0,1,0,0,1,0,0
0.3857493857493858,0.0,0.7102684244496684,0.4302923579836711,1,0,0,1,0,0,1,0,0,1,0,0
0.20884520884520885,0.08333333333333333,0.8101332201423372,0.1928395238490597,1,0,0,1,0,0,1,1,0,0,0,0
0.13267813267813267,0.25,0.8185924658296949,0.0633938479690085,0,0,0,0,1,1,0,0,0,1,0,0
0.144963144963145,0.0,0.7432818684468054,0.4392703203262254,3,0,0,1,0,1,0,1,0,0,0,0
0.21212121212121215,0.25,0.6068132070914094,0.189508546406745,2,1,0,0,1,0,1,0,0,1,0,0
0.27190827190827194,0.16666666666666669,0.7942280612883148,0.2898867287399454,2,0,0,1,0,1,0,0,0,0,1,0
0.29320229320229324,0.16666666666666669,0.7811068615648137,0.2062814185679008,1,0,0,1,0,1,0,1,0,0,0,0
0.3579033579033579,0.16666666666666669,0.7951287300156571,0.359586097716788,2,0,0,0,1,1,0,0,0,1,0,0
0.4127764127764128,0.25,0.7237035169206748,0.3206230276665276,2,1,0,1,0,0,1,1,0,0,0,0
0.22031122031122036,0.49999999999999994,0.6549547671652259,0.2756927294544005,2,1,0,1,0,1,0,1,0,0,0,0
0.0778050778050778,0.3333333333333333,0.7483115321782127,0.5605733407770093,2,0,0,0,1,1,0,1,0,0,0,0
0.31941031941031944,0.3333333333333333,0.6832996600338606,0.3538437996988091,2,0,0,1,0,1,0,0,0,1,0,0
0.10237510237510238,0.08333333333333333,0.8822721466764905,0.2955499226138581,2,0,0,1,0,1,0,0,1,0,0,0
0.4873054873054874,0.08333333333333333,0.6182467711268989,0.2641053052409366,3,0,0,1,0,0,1,0,0,1,0,0
0.5814905814905815,0.25,0.6781565261797515,0.0799011789912761,0,0,0,1,0,1,0,1,0,0,0,0
0.4635544635544636,0.3333333333333333,0.77007450071492,0.1435887514135072,1,0,0,1,0,0,1,1,0,0,0,0
0.2055692055692056,0.4166666666666667,0.7939160948724565,0.3974818518182671,0,0,0,1,0,1,0,0,0,0,1,0
0.07207207207207207,0.16666666666666669,0.7247586848040292,0.1643780619539865,3,1,0,1,0,1,0,1,0,0,0,0
0.36199836199836205,0.0,0.7119954198576256,0.1499436090516459,1,0,0,1,0,1,0,0,0,1,0,0
0.14332514332514334,0.16666666666666669,0.826097338480403,0.6480647187592479,1,0,0,1,0,0,1,1,0,0,0,0
0.10892710892710893,0.25,0.47064170064921995,0.5758562484970733,2,0,0,1,0,0,1,1,0,0,0,0
0.23423423423423428,0.3333333333333333,0.27219460613093827,0.5398863213515129,1,0,0,0,1,1,0,1,0,0,0,0
0.7723177723177724,0.3333333333333333,0.8873220039662644,0.3277588362438096,0,0,0,1,0,0,1,0,0,0,1,0
0.2137592137592138,0.16666666666666669,0.7143975802586348,0.3209241220997338,1,0,0,1,0,1,0,0,0,1,0,0
0.25470925470925476,0.16666666666666669,0.6804505939854741,0.2315063890845416,3,0,0,1,0,1,0,1,0,0,0,0
0.16543816543816547,0.25,0.5977112544155176,0.6939481071729593,5,0,1,0,0,0,1,1,0,0,0,0
0.25634725634725636,0.16666666666666669,0.6005035478174562,0.4151449328540208,1,0,0,1,0,1,0,1,0,0,0,0
0.4463554463554464,0.16666666666666669,0.6232203413341885,0.3507660431130412,2,0,0,1,0,1,0,0,0,1,0,0
0.38001638001638005,0.3333333333333333,0.7944090555069476,0.334956131312233,1,0,0,1,0,1,0,0,1,0,0,0
0.583947583947584,0.25,0.49761045723833275,0.364075330591236,3,0,0,1,0,1,0,1,0,0,0,0
